ID,NPostedQuestionsByUser,AvgAnswerTime,Num_of_images,Num_code_Snippets,Body_Length,Title_Length,End_Question_mark,Begin_Question_word,IS_Weekend,TagFrequency,numofPopulartags_25Threshold,numofPopulartags_50Threshold,numofPopulartags_100Threshold,ActiveSubscribers_10Threshold,ActiveSubscribers_20Threshold,ActiveSubscribers_30Threshold,PercentActiveSubscribers_10Threshold,PercentActiveSubscribers_20Threshold,PercentActiveSubscribers_30Threshold,Subscribers,ResponsiveSubscribers,PercentResponsiveSubscribers,UserReputation,FirstAnswerTime,Class
26133751,15,24,0,1,466,64,0,0,0,4227,4,4,4,93,34,19,0.01,0.004,0.002,7787,4323,0.571,487,28,1
26133752,0,17,0,2,3228,42,0,0,0,24,1,0,0,0,0,0,0,0,0,29,1,0.028,1,779,3
26133769,1,828,0,0,590,38,0,0,0,8825,5,4,4,170,69,39,0.008,0.003,0.002,11476,4821,0.262,385,172,2
26133049,1,343,0,4,2541,30,0,0,0,6002,2,2,2,110,43,27,0.01,0.004,0.003,7372,2897,0.329,126,10,1
26142426,5,329,0,3,3705,44,0,0,0,26645,5,5,5,551,212,117,0.013,0.005,0.003,36004,17514,0.404,114,68,2
26142441,59,160,0,2,605,45,0,0,0,7583,4,4,4,137,51,27,0.01,0.003,0.002,8896,2898,0.293,362,59,2
26142509,19,133,0,5,849,44,0,0,0,4442,1,1,1,92,34,22,0.016,0.006,0.004,5593,1901,0.34,413,6,1
26142558,1,34,0,1,2280,68,0,0,0,3196,5,4,4,45,18,11,0.005,0.003,0.002,3817,1368,0.294,69,19,1
26137075,4,78,0,0,781,56,0,0,0,78,1,1,1,0,0,0,0.003,0.003,0.002,85,10,0.124,11,9,1
26137092,0,17,0,1,1356,56,1,0,0,21252,2,2,2,402,162,86,0.009,0.003,0.002,24644,9686,0.444,6,2,1
26136324,2,122,0,2,848,21,0,0,0,12406,4,4,4,251,92,53,0.008,0.002,0.001,17730,9313,0.477,2,12,1
26136326,0,17,0,4,1712,41,0,0,0,53820,1,1,1,1169,448,245,0.016,0.006,0.003,73481,36564,0.498,346,28,1
26136359,0,17,0,1,1297,37,0,0,0,815,4,4,3,12,4,1,0.011,0.003,0.001,1717,982,0.425,1,143,2
26137710,3,12,0,2,1790,16,0,0,0,27554,3,3,3,579,216,123,0.014,0.005,0.003,39419,21348,0.545,1,3,1
26137110,0,17,0,1,998,52,0,0,0,2266,2,2,2,53,23,18,0.014,0.006,0.004,3844,1577,0.337,80,17,1
26137159,2,8,1,0,1243,66,0,0,0,30155,3,3,3,614,251,143,0.016,0.006,0.004,38707,16619,0.331,610,34,2
26137177,0,17,0,0,334,64,0,0,0,684,3,3,3,7,0,0,0.005,0,0,657,73,0.124,179,102,2
26137194,19,386,0,0,1116,39,1,0,0,5513,3,3,3,106,42,22,0.004,0.002,0.001,6410,2118,0.381,3740,5,1
26137828,0,17,0,4,1567,33,0,0,0,8341,2,1,1,193,87,54,0.008,0.004,0.002,12208,5848,0.58,0,9,1
26137878,3,39,0,0,503,37,0,0,0,1523,3,3,3,14,5,2,0.006,0.003,0.002,1995,588,0.261,3,86,2
26144930,0,17,0,3,1603,37,0,0,0,12118,4,4,4,256,107,64,0.007,0.003,0.002,16906,7778,0.311,18,1440,3
26145032,0,17,0,0,534,26,0,0,0,23586,2,2,2,508,212,126,0.008,0.003,0.002,33175,15411,0.473,0,4,1
26145165,0,17,0,1,769,25,0,0,0,468,1,1,1,7,1,0,0.007,0.001,0,524,120,0.257,1,16,1
26148057,0,17,1,0,211,72,0,0,0,16275,2,2,2,336,128,69,0.017,0.006,0.004,19553,6714,0.349,0,3,1
26148141,0,17,0,7,1141,27,0,0,0,2566,4,3,3,22,7,4,0.004,0.001,0.001,3134,997,0.317,0,1431,3
26148172,0,17,0,3,2432,39,0,0,0,7929,4,3,3,149,67,43,0.008,0.004,0.003,10945,4788,0.372,5468,262,2
26148322,0,17,0,2,954,41,0,0,0,15717,3,3,1,338,141,84,0.005,0.002,0.001,22115,10281,0.532,0,1,1
26148373,1,1440,0,1,2021,58,0,0,0,7772,4,4,4,137,52,27,0.011,0.004,0.002,9047,2941,0.306,19,26,1
26148389,2,25,0,3,2088,44,0,0,0,14189,3,3,3,279,116,64,0.011,0.004,0.002,18656,8081,0.415,53,23,1
26148489,3,22,0,7,2658,72,1,0,0,9514,3,3,3,165,65,40,0.008,0.003,0.002,13526,7184,0.555,22,2,1
26148492,0,17,0,1,565,39,0,0,0,2793,3,3,3,35,12,6,0.009,0.003,0.002,3916,1601,0.436,0,27,1
26148609,7,41,0,3,979,36,0,0,0,4314,2,2,2,71,42,25,0.009,0.005,0.003,5721,2390,0.473,35,29,1
26148626,0,17,0,1,626,60,0,0,0,15799,3,3,3,350,133,70,0.01,0.004,0.002,25151,14013,0.465,0,2,1
26148691,0,17,0,1,794,50,1,0,0,17986,2,2,2,389,149,81,0.005,0.002,0.001,24567,12228,0.514,1,4,1
26148793,2,134,0,2,1106,62,1,0,0,16337,3,3,3,305,123,67,0.011,0.004,0.002,20702,8729,0.377,43,1,1
26148823,0,17,0,0,1141,30,0,0,0,529,3,3,3,3,1,0,0.008,0.001,0.001,595,142,0.221,61,50,2
26147603,0,17,0,2,1493,38,0,0,0,9681,3,3,3,184,79,48,0.011,0.004,0.002,13317,6019,0.507,0,3,1
26142573,9,68,0,0,830,43,0,0,0,41875,1,1,1,802,325,173,0.017,0.007,0.004,48420,18940,0.391,107,5,1
26142610,4,37,0,3,1903,60,0,0,0,11419,4,4,4,261,99,52,0.007,0.003,0.001,18453,10421,0.501,22,19,1
26142626,0,17,0,3,1951,74,0,0,0,23328,4,4,4,481,178,98,0.011,0.004,0.002,32194,16301,0.441,0,8,1
26142658,0,17,0,0,252,52,0,0,0,366,1,1,1,1,1,0,0.002,0.001,0,298,50,0.226,101,140,2
26142659,1,87,0,2,271,50,0,0,0,2787,1,1,1,35,13,7,0.01,0.004,0.002,3460,1626,0.47,6,23,1
26142690,10,197,0,1,1009,52,1,0,0,144,1,1,1,2,1,0,0.014,0.007,0,148,21,0.142,25144,85,2
26145915,0,17,0,4,421,56,1,0,0,8162,3,3,2,168,64,34,0.009,0.003,0.002,9800,3360,0.205,4120,14,1
26145932,2,8,0,1,605,50,1,0,0,11053,4,4,4,204,82,43,0.008,0.003,0.001,12824,4894,0.258,20,5,1
26146905,0,17,0,1,890,46,0,0,0,16933,5,5,5,341,141,85,0.012,0.005,0.003,24001,11816,0.469,0,3,1
26146936,0,17,0,0,804,32,0,0,0,384,2,2,2,5,2,2,0.01,0.003,0.003,500,82,0.2,3,7,1
26147020,0,17,0,1,855,73,0,0,0,10015,3,3,3,182,69,36,0.013,0.005,0.002,11762,3844,0.321,20,70,2
26147120,0,17,0,3,2171,53,0,0,0,4810,4,4,4,102,46,28,0.008,0.003,0.002,7394,3892,0.475,0,84,2
26147186,5,547,1,3,3255,60,0,0,0,8020,3,3,3,162,63,34,0.009,0.004,0.002,12708,6608,0.426,140,414,3
26147269,1,36,0,1,686,60,0,0,0,2299,3,3,1,24,8,4,0.013,0.006,0.001,2391,623,0.217,13,12,1
26147287,0,17,0,0,915,55,0,0,0,390,3,3,2,6,3,1,0.01,0.006,0.003,391,56,0.15,77,214,2
26147369,3,4,0,1,1285,42,0,0,0,18451,1,1,1,388,164,92,0.008,0.003,0.002,24110,10544,0.582,1,4,1
26147438,0,17,0,4,591,34,0,0,0,1616,2,2,2,20,4,2,0.009,0.002,0.001,1668,525,0.286,179,74,2
26147439,0,17,0,0,1221,49,0,0,0,7332,3,3,3,141,56,29,0.006,0.002,0.001,8509,2790,0.27,593,1440,3
26147454,1,156,0,13,1406,80,1,0,0,241,2,2,2,1,1,0,0.008,0.008,0,224,41,0.206,161,833,3
26148890,0,17,0,3,13133,54,0,0,0,10995,4,4,3,204,81,43,0.006,0.002,0.001,12719,5005,0.403,0,11,1
26146049,0,17,0,12,3622,53,1,0,0,13815,4,4,4,282,114,68,0.013,0.004,0.003,18780,8320,0.342,3,18,1
26146099,0,17,0,1,1282,42,0,0,0,3470,2,2,2,67,42,25,0.008,0.005,0.003,4265,1522,0.306,68,7,1
26146169,1,13,0,3,1088,55,0,0,0,6544,4,4,4,140,64,40,0.01,0.004,0.002,10068,5217,0.53,31,6,1
26146217,1,847,0,7,1010,51,0,0,0,16653,1,1,1,386,174,108,0.016,0.007,0.004,24372,11667,0.479,4171,2,1
26146267,0,17,0,4,7254,86,0,0,0,247,3,3,3,0,0,0,0.002,0,0,277,101,0.378,0,78,2
26147540,1,93,0,4,669,25,0,0,0,4243,4,4,4,84,37,23,0.006,0.003,0.001,5833,2622,0.333,285,17,1
26149191,0,17,0,2,1370,58,0,0,0,10254,3,3,3,218,84,49,0.007,0.004,0.001,13657,6942,0.279,0,23,1
26149827,0,17,0,2,1594,37,0,0,0,9902,4,4,4,198,83,46,0.006,0.002,0.001,13096,5785,0.488,0,3,1
26149844,2,0,0,2,760,77,0,0,0,8487,2,2,2,170,74,45,0.012,0.005,0.001,11661,5154,0.284,280,23,1
26149860,5,730,0,7,1287,62,0,0,0,35,1,1,0,0,0,0,0.006,0,0,44,3,0.035,45,628,3
26148959,0,17,0,2,4357,64,0,0,0,8882,2,2,2,203,91,56,0.012,0.005,0.003,13357,6565,0.552,0,12,1
26136406,6,253,0,3,1332,37,0,0,0,12733,3,3,3,205,87,51,0.01,0.004,0.002,16811,7208,0.395,51,276,2
26137426,2,11,0,0,305,39,0,0,0,7629,5,5,5,156,65,36,0.006,0.001,0.001,9912,4306,0.35,18,174,2
26137510,3,255,0,3,914,55,0,0,0,13427,4,4,4,267,113,68,0.012,0.007,0.005,18394,8319,0.302,302,3,1
26136991,0,17,0,1,650,41,0,0,0,16286,4,4,4,340,133,73,0.013,0.004,0.002,21782,10220,0.325,72,4,1
26137543,6,93,0,1,1470,87,0,0,0,7042,3,2,2,135,59,35,0.006,0.003,0.001,9589,4267,0.355,12,14,1
26137577,2,41,0,1,495,84,1,0,0,12686,2,1,1,253,111,68,0.007,0.003,0.002,17441,7719,0.374,1127,14,1
26137609,2,476,0,1,287,17,0,0,0,1506,2,2,1,6,1,0,0.002,0,0,1581,312,0.189,13,1440,3
26138780,1,44,0,3,1525,74,1,0,0,1491,4,4,4,20,8,5,0.006,0.003,0.002,2116,846,0.357,109,29,1
26137944,1,122,0,2,2448,68,0,0,0,16500,1,1,1,266,86,54,0.012,0.004,0.002,22641,12387,0.547,11,58,2
26136440,1,7,0,2,711,76,1,0,0,26447,5,5,5,581,218,119,0.012,0.004,0.002,38862,20768,0.492,43,8,1
26138181,0,17,0,3,374,35,1,1,0,11666,1,1,1,219,85,54,0.015,0.006,0.004,14320,5683,0.397,596,5,1
26138782,1,131,0,1,1357,68,1,0,0,4795,3,3,3,87,29,17,0.01,0.002,0.001,5850,1957,0.268,6,18,1
26133132,0,17,0,6,969,46,0,0,0,2336,2,2,2,46,17,11,0.008,0.003,0.002,3005,1039,0.382,0,5,1
26133134,0,17,0,0,418,94,1,0,0,14711,3,3,3,309,119,68,0.008,0.003,0.002,20740,10821,0.539,37,18,1
26133184,3,18,0,1,492,36,0,0,0,330,1,1,1,2,2,2,0.006,0.006,0.006,332,64,0.193,15,1440,3
26134621,0,17,0,1,1069,22,0,0,0,39958,2,2,2,886,337,183,0.015,0.006,0.003,57702,30351,0.537,41,6,1
26134637,1,194,0,2,1932,44,0,0,0,76,2,1,1,2,0,0,0.029,0.004,0.004,72,8,0.117,23,155,2
26133267,0,17,0,1,657,17,0,0,0,3842,2,2,1,107,46,27,0.008,0.003,0.002,6856,3476,0.49,0,5,1
26133283,0,17,0,4,985,61,1,0,0,98,1,1,0,3,0,0,0.027,0,0,111,7,0.063,0,1440,3
26135187,5,10,0,3,649,90,0,0,0,1492,2,2,2,26,14,8,0.008,0.004,0.002,1769,583,0.351,47,42,2
26135220,12,873,0,3,953,22,0,0,0,279,1,1,1,4,1,0,0.013,0.003,0,314,22,0.07,68,659,3
26134669,6,246,0,3,1277,48,0,0,0,5023,2,2,2,87,40,24,0.007,0.003,0.002,6134,1995,0.265,68,6,1
26134803,0,17,0,1,2060,47,0,0,0,30985,3,3,3,631,234,129,0.012,0.004,0.002,42771,21981,0.506,291,16,1
26132378,0,17,0,1,770,40,0,1,0,23709,2,2,2,508,212,126,0.008,0.003,0.002,33445,15612,0.562,0,23,1
26132379,3,434,0,2,1434,36,0,0,0,12303,2,2,2,256,106,63,0.005,0.002,0.001,17275,7944,0.476,4030,162,2
26149009,0,17,0,2,1149,53,1,0,0,24022,2,2,2,509,213,127,0.009,0.004,0.002,33598,15510,0.378,75,9,1
26149244,9,44,0,1,899,35,0,0,0,27317,2,2,2,573,229,135,0.012,0.004,0.003,40145,19532,0.527,58,21,1
26149341,0,17,0,1,555,29,0,0,0,3444,2,2,1,67,42,25,0.008,0.005,0.003,4259,1525,0.392,68,40,2
26147822,1,22,0,1,428,87,0,0,0,4101,5,5,4,79,35,21,0.004,0.002,0.001,5797,2619,0.384,139,7,1
26149927,0,17,0,1,401,73,0,0,0,43190,2,2,2,929,347,193,0.015,0.006,0.003,60227,31108,0.522,1,9,1
26149979,0,17,0,4,786,55,0,0,0,3687,2,2,2,72,43,25,0.016,0.007,0.004,4528,1592,0.311,0,10,1
26149061,4,13,0,0,661,53,1,0,0,12665,3,3,3,264,109,64,0.007,0.003,0.001,17765,8184,0.323,42,16,1
26149091,8,24,0,1,1084,50,0,0,0,4809,5,5,4,87,35,18,0.005,0.002,0.001,5629,1927,0.39,25,11,1
26133381,2,35,0,6,1871,43,0,0,0,13567,2,2,2,315,117,63,0.016,0.006,0.003,21735,12388,0.495,45,103,2
26133382,0,17,0,3,4319,79,0,0,0,26800,5,5,5,552,208,116,0.01,0.004,0.002,36578,18755,0.477,3,1440,3
26133916,9,152,0,3,536,59,0,0,0,231,2,2,2,1,0,0,0.003,0,0,220,36,0.135,80,213,2
26133465,17,219,0,4,1052,63,0,0,0,9326,3,3,3,182,81,50,0.013,0.006,0.004,12712,5622,0.434,98,15,1
26133484,0,17,0,2,1277,33,0,0,0,2994,1,1,1,64,28,17,0.006,0.002,0.001,5813,3524,0.303,62,27,1
26133501,4,321,0,0,603,70,0,0,0,9228,5,5,4,179,67,39,0.004,0.001,0.001,12320,6213,0.429,39,37,2
26133532,0,17,0,5,1362,52,1,0,0,3432,2,1,1,67,42,25,0.008,0.005,0.003,4249,1521,0.385,0,11,1
26133936,4,409,3,2,2046,85,1,0,0,6168,4,4,4,109,43,22,0.005,0.002,0.001,7518,2322,0.249,26,136,2
26133984,0,17,0,3,1149,72,0,0,0,16039,3,3,3,342,142,84,0.007,0.003,0.001,22655,10577,0.528,145,3,1
26134002,2,2,0,1,596,38,0,0,0,28284,2,2,2,568,211,124,0.014,0.005,0.003,38167,19953,0.53,192,7,1
26133618,0,17,0,1,2443,48,1,0,0,9962,3,3,3,212,79,43,0.007,0.003,0.002,15696,8687,0.381,7,5,1
26133634,0,17,0,2,814,64,0,0,0,12287,4,4,3,260,106,63,0.014,0.006,0.005,17022,7729,0.247,1,856,3
26132716,1,21,0,0,896,40,0,0,0,818,5,4,3,7,2,1,0.004,0.001,0,1039,301,0.258,1123,154,2
26132947,0,17,0,1,1069,72,1,0,0,5853,2,1,1,109,42,27,0.008,0.003,0.002,7184,2846,0.29,323,8,1
26134086,0,17,0,2,1113,81,1,0,0,24102,2,2,2,513,214,128,0.012,0.005,0.003,33751,15630,0.432,66,237,2
26137677,0,17,0,2,1249,43,0,0,0,26939,2,2,1,584,224,122,0.008,0.003,0.002,36775,18293,0.415,1,7,1
26136959,0,17,0,1,345,37,0,0,0,6498,3,3,3,102,33,19,0.01,0.004,0.001,8644,4357,0.314,3,28,1
26136374,0,17,0,4,2530,101,1,0,0,2269,3,3,3,31,9,6,0.013,0.004,0.003,2430,594,0.219,0,77,2
26137693,25,164,0,4,594,33,1,0,0,16109,3,3,3,342,143,85,0.01,0.004,0.003,22633,10452,0.389,357,1289,3
26137695,0,17,0,3,1373,45,0,0,0,19537,2,2,2,392,167,94,0.01,0.005,0.003,25331,10983,0.4,0,4,1
26144933,6,11,0,2,564,38,1,0,0,29013,3,3,3,619,231,128,0.01,0.004,0.002,40426,20796,0.417,3,21,1
26144948,0,17,0,0,608,51,1,0,0,131,1,1,1,3,2,2,0.022,0.014,0.014,138,6,0.043,6,1440,3
26145064,6,263,0,1,1562,32,0,0,0,14536,3,2,2,272,109,58,0.008,0.003,0.001,16946,6662,0.41,14,3,1
26148088,2,624,1,2,610,74,1,0,0,3482,2,2,2,67,42,25,0.008,0.005,0.003,4292,1524,0.266,10,17,1
26148108,0,17,0,2,529,17,0,0,0,2091,3,3,3,57,24,14,0.009,0.003,0.002,3662,1791,0.375,0,793,3
26148122,0,17,0,1,629,63,0,0,0,1671,4,4,4,22,8,5,0.006,0.002,0.001,1873,566,0.298,16,428,3
26148156,1,59,0,1,1343,46,1,0,0,12579,3,3,3,257,107,63,0.006,0.003,0.001,17350,7886,0.306,3,1440,3
26148192,4,9,0,0,198,38,0,0,0,5590,3,2,1,128,58,36,0.005,0.002,0.001,8186,3924,0.52,10277,4,1
26148307,0,17,0,2,2075,122,1,0,0,15029,3,3,3,287,118,66,0.01,0.004,0.002,19741,8351,0.392,0,13,1
26148325,0,17,0,1,298,34,0,0,0,11262,4,4,3,221,84,48,0.005,0.002,0.001,15234,7838,0.528,0,3,1
26148507,0,17,0,3,1877,33,1,0,0,10966,2,2,2,212,85,44,0.008,0.003,0.002,12678,4171,0.293,0,3,1
26148523,0,17,0,6,3637,33,0,0,0,2361,3,3,3,30,9,5,0.011,0.004,0.001,2475,599,0.215,1,32,2
26148591,3,6,0,1,535,63,0,0,0,16959,3,3,3,357,147,87,0.008,0.003,0.002,24780,11838,0.533,1,1,1
26148592,0,17,0,1,738,42,0,0,0,2374,2,2,2,29,13,7,0.008,0.003,0.002,2547,933,0.356,166,46,2
26148608,1,37,0,3,1003,60,0,0,0,13050,1,1,1,301,113,61,0.007,0.003,0.001,20968,12071,0.496,1226,3,1
26148625,1,31,0,1,1472,34,0,0,0,20050,5,5,5,391,157,88,0.009,0.003,0.002,26739,12078,0.502,8,33,2
26148642,0,17,0,1,579,54,0,0,0,23599,2,2,2,508,212,126,0.008,0.003,0.002,33174,15384,0.369,373,4,1
26148656,0,17,0,0,702,36,0,0,0,1630,1,1,1,22,2,0,0.014,0.001,0,1542,160,0.104,1,960,3
26148724,0,17,0,0,515,59,0,0,0,7533,5,5,5,141,51,27,0.009,0.003,0.001,9000,3021,0.294,107,50,2
26148807,0,17,0,10,1706,56,0,0,0,14296,2,2,2,301,128,72,0.009,0.004,0.002,19953,9377,0.446,8,35,2
26148877,4,155,0,1,463,58,1,0,0,2937,2,2,2,35,12,6,0.005,0.002,0.001,3655,1303,0.253,35,4,1
26147604,1,1263,0,2,914,66,0,0,0,35185,3,3,3,767,289,158,0.015,0.006,0.003,50602,26511,0.532,8,43,2
26142743,0,17,0,2,1050,48,0,0,0,12095,4,3,3,257,107,64,0.007,0.003,0.002,16880,7757,0.31,1,15,1
26142975,7,109,0,1,1561,47,1,0,0,29927,4,4,4,634,242,131,0.015,0.006,0.003,42167,21512,0.516,744,26,1
26143025,2,9,0,1,889,60,1,0,0,198,2,2,2,2,0,0,0.008,0.002,0,221,23,0.118,3,32,2
26143091,1,19,0,0,457,37,1,0,0,522,1,1,1,13,4,2,0.009,0.003,0.002,776,319,0.207,7918,9,1
26143110,0,17,0,3,623,76,0,0,0,13571,3,3,2,290,112,65,0.006,0.002,0.001,18231,9281,0.301,191,304,3
26143143,1,1440,0,0,1170,80,0,0,0,9627,4,3,2,199,83,46,0.008,0.003,0.001,12437,5319,0.204,727,268,2
26141655,1,5,0,3,4434,37,0,0,0,20498,5,5,5,439,164,93,0.01,0.004,0.002,29552,15850,0.465,22,9,1
26141771,0,17,0,3,2806,55,0,0,0,314,1,1,1,2,1,0,0.005,0.002,0.001,285,32,0.143,10,1440,3
26138798,0,17,0,6,11110,63,0,0,0,17614,2,2,2,364,127,72,0.014,0.004,0.002,24877,13284,0.438,1,334,3
26138865,5,320,0,1,1752,27,0,0,0,1885,3,3,3,13,5,2,0.008,0.004,0.002,2254,681,0.288,30,265,2
26138263,0,17,0,1,2102,45,0,0,0,4035,2,2,2,69,27,17,0.016,0.006,0.004,4545,1401,0.307,0,200,2
26138346,1,13,0,2,1013,52,0,0,0,18091,3,2,2,389,149,81,0.005,0.002,0.001,24668,12225,0.258,185,313,3
26138362,0,17,0,0,412,41,0,0,0,2635,2,2,2,71,30,18,0.005,0.002,0.001,4733,2419,0.528,132,5,1
26138414,0,17,0,1,374,44,0,0,0,18104,3,3,3,392,150,82,0.011,0.004,0.002,24772,12293,0.436,0,10,1
26149108,0,17,0,1,1596,43,0,0,0,1212,5,5,5,10,3,2,0.006,0.003,0.002,1316,290,0.234,78,11,1
26149109,3,51,0,0,1170,25,0,0,0,12165,4,4,4,256,106,63,0.007,0.003,0.002,16980,7784,0.287,26,304,3
26149392,0,17,0,2,13294,59,0,0,0,18638,5,5,5,381,144,80,0.011,0.004,0.003,25628,12982,0.392,0,55,2
26149409,1,1440,0,1,610,33,0,0,0,1152,2,1,1,29,12,6,0.01,0.004,0.002,1576,417,0.389,408,18,1
26149410,15,105,0,3,2238,53,1,0,0,19850,5,5,5,387,155,91,0.008,0.003,0.002,26817,12753,0.375,139,18,1
26149412,0,17,0,6,649,32,0,0,0,42149,3,3,3,909,344,193,0.016,0.006,0.003,58049,29912,0.519,6,12,1
26138612,1,8,0,1,404,63,0,0,0,37492,3,3,3,820,307,169,0.015,0.006,0.003,54126,28785,0.54,220,1,1
26138715,13,331,0,2,1339,43,1,0,0,9888,4,4,4,203,84,50,0.004,0.001,0.001,13793,6287,0.253,4553,14,1
26138731,4,14,0,4,933,31,0,0,0,13570,2,2,2,256,112,68,0.008,0.004,0.002,18573,8176,0.422,308,14,1
26140252,0,17,0,2,2026,58,0,0,0,27645,5,5,5,588,220,119,0.013,0.005,0.002,40318,21479,0.529,6,19,1
26140334,0,17,1,0,576,84,1,0,0,7174,5,5,5,136,51,27,0.008,0.003,0.001,8883,2919,0.31,1472,14,1
26140352,3,829,0,1,2190,56,0,0,0,3276,1,1,1,34,13,5,0.008,0.003,0.001,4337,1331,0.307,69,26,1
26140367,0,17,0,0,290,51,0,0,0,9926,5,4,3,210,87,52,0.005,0.002,0.001,13924,6461,0.438,0,5,1
26139432,0,17,0,0,301,46,0,0,0,777,3,3,3,6,1,0,0.009,0.004,0.001,793,221,0.206,0,83,2
26139450,1,13,0,0,1005,43,0,0,0,5255,3,3,3,81,35,20,0.008,0.003,0.002,6443,2186,0.292,6,14,1
26139515,0,17,0,2,703,62,0,0,0,8357,2,2,1,193,87,54,0.008,0.004,0.002,12231,5863,0.573,0,7,1
26139683,0,17,0,1,225,33,0,0,0,10161,2,2,2,211,98,58,0.014,0.006,0.003,15081,7771,0.463,0,1,1
26138931,1,74,0,2,1685,32,1,0,0,20456,2,2,2,438,168,97,0.011,0.003,0.002,27444,14126,0.564,21,4,1
26138949,0,17,0,2,827,18,0,0,0,10675,3,3,3,200,81,43,0.004,0.002,0.001,12356,4818,0.314,63,5,1
26139081,0,17,0,2,4250,44,0,0,0,16064,3,3,3,288,97,55,0.009,0.003,0.002,23809,12890,0.53,0,24,1
26149427,0,17,0,3,1276,59,0,0,0,3451,2,2,2,35,11,6,0.005,0.002,0.001,3580,933,0.223,326,240,2
26147888,0,17,0,2,1068,30,0,0,0,6595,3,2,2,130,59,37,0.007,0.003,0.002,9692,4965,0.412,0,35,2
26149510,0,17,0,4,1702,79,0,0,0,2149,5,4,4,23,7,2,0.002,0.001,0,2438,913,0.237,63,8,1
26149593,0,17,0,2,1202,60,0,0,0,9794,5,3,3,216,82,43,0.007,0.003,0.002,15681,8676,0.403,1,28,1
26149642,0,17,0,3,713,32,0,0,0,8777,3,3,3,173,68,36,0.014,0.004,0.002,10300,3411,0.312,4,35,2
26149659,0,17,0,2,1640,93,0,0,0,19175,4,4,4,368,151,89,0.012,0.005,0.003,26271,12570,0.467,0,11,1
26147655,1,1057,0,1,759,41,0,0,0,13343,4,4,4,270,111,66,0.007,0.003,0.002,18249,8163,0.35,9,110,2
26147670,8,23,0,1,288,29,0,0,0,402,1,1,1,6,4,2,0.016,0.01,0.005,385,60,0.156,229,301,3
